RECORD_ID,SOURCE_TYPE,SOURCE_ID,COMPANY_NAME,NAICS_CD,SIC_CODE,ADDRESS_LINE_1,ADDRESS_LINE_2,CITY,STATE,ZIP_CODE,ZIP4,COUNTRY_CODE,ADDRESS_VALID_IND,ADDRESS_LOCATION_TYPE,ADDRESS_MARKETABLE_IND,ADDRESS_FAULT_CODE,RESIDENTIAL_DELIVERY_IND,EMAIL_ADDRESS,EMAIL_MARKETABLE_IND,EMAIL_UPDATE_DT,PHONE_NUMBER,PHONE_TYPE,PHONE_EXTENSION,PHONE_VALID_IND,PHONE_MARKETABLE_IND,PHONE_UPDATE_DT,ADDRESS_UPDATE_DT,Record ID,Company Name,Address 1,phone number,naics code,duns number
,,,,,,,,Austin,TX,78701,,,,,,,,,,,,,,,,,,REC00001,Omega Systems,2994 Commerce Dr,964-154-4094,423440,70-939-8190
,,,,,,,,Columbus,OH,43201,,,,,,,,,,,,,,,,,,REC00002,Atlas Group #61,5456 Commerce Dr,,423430,62-456-7357
,,,,,,,,,,,,,,,,,,,,,,,,,,,,REC00003,Metro Business Solutions #62,,297-677-1849,,88-830-2403
,,,,,,,,,,,,,,,,,,,,,,,,,,,,REC00004,Horizon Ventures #21,,529-439-1007,334111,42-655-1352
,,,,,,,,,,,,,,,,,,,,,,,,,,,,REC00005,Quantum Dynamics,,644-821-3875,541611,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,REC00006,Coastal Services,Unknown,749-208-6231,,18-287-3254
,,,,,,,,New York,NY,10001,,,,,,,,,,,,,,,,,,REC00007,Epsilon LLC #18,1770 Cedar Ln,,,16-841-6212
,,,,,,,,San Diego,CA,92101,,,,,,,,,,,,,,,,,,REC00008,Omega Systems,4634 Industrial Pkwy,912-623-8175,,22-421-9897
,,,,,,,Floor 12,,,,,,,,,,,,,,,,,,,,,REC00009,Southern Logistics,Unknown,225-553-4006,334111,99-352-6665
,,,,,,,,San Jose,CA,95101,,,,,,,,,,,,,,,,,,REC00010,Omega Systems,515 Main St,984-291-3863,334111,
,,,,,,,,San Jose,CA,95101,4776,,,,,,,,,,,,,,,,,REC00011,Mountain View Tech,1575 Elm Blvd,922-318-4417,541519,
,,,,,,,,Atlanta,GA,30301,4678,,,,,,,,,,,,,,,,,REC00012,Theta Group,3489 Tech Park Blvd,INVALID,517311,24-889-4567
,,,,,,,,Columbus,OH,43201,7779,,,,,,,,,,,,,,,,,REC00013,Pioneer Holdings,8590 Pine Rd,,541512,50-593-8607
,,,,,,,,San Jose,CA,95101,,,,,,,,,,,,,,,,,,REC00014,Zeta Enterprises,9948 Commerce Dr,629-903-5155,541611,
